post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1116715456059015169,common,Fri Apr 12 14:51:26 +0000 2019,"""GOD's kindness is meant to lead you to repentance"" Romans 2:4",#,@,979,200
1116715210042159104,common,Fri Apr 12 14:50:28 +0000 2019,"""Whoever pursues righteousness and love finds life, prosperity, and honor” Proverbs 21:21",#,@,2872,770
1116066455932375040,common,Wed Apr 10 19:52:33 +0000 2019,“Not everything that is faced can be changed. But nothing can be changed until it is faced” James Baldwin https://t.co/lLbTTzaoxz,#,@,878,302
1116061813404262400,common,Wed Apr 10 19:34:06 +0000 2019,Pre-order now and receive a signed bookplate from me.  #LetLove https://t.co/EahPustlDY,#LetLove#,@,128,26
1119349923366014976,consequence,Fri Apr 19 21:19:52 +0000 2019,Keegan DeWitt’s Her Smell score is getting the vinyl treatment: https://t.co/vto6ovZO1L https://t.co/8KCyUa1xuS,#,@,4,0
1119345213691125760,consequence,Fri Apr 19 21:01:10 +0000 2019,Ava DuVernay recalls a miscarriage of justice in the trailer for Netflix limited series When They See Us:… https://t.co/DqaRoofsFp,#,@,5,1
1119340150813753346,consequence,Fri Apr 19 20:41:02 +0000 2019,Roman Polanski is attempting to sue his way back into The Academy: https://t.co/ZQoWXJaB5H https://t.co/Xy883Dbyld,#,@,1,0
1119334962166161411,consequence,Fri Apr 19 20:20:25 +0000 2019,"Bats, cats, penguins, martians, and apes takeover the latest episode of Filmography's dissection of Tim Burton:… https://t.co/CJtrbU5Uwi",#,@,7,2
1119330356749062145,consequence,Fri Apr 19 20:02:07 +0000 2019,"South Korean boy band BTS doubles down on genre-bending, emotion-fueled pop on Map of the Soul : Persona:… https://t.co/VC685TWIR6",#,@,1798,1002
1119326883026546688,consequence,Fri Apr 19 19:48:19 +0000 2019,"On today’s Kyle Meredith With…, Tom McFarland of Jungle calls into the show while getting a tattoo to discuss the d… https://t.co/56Oyipbm1l",#,@,4,2
1119321802419965952,consequence,Fri Apr 19 19:28:08 +0000 2019,Megadeth’s “Last Rites / Loved to Deth” provides the soundtrack to Apple’s latest promo video:… https://t.co/MZvgFKSMeq,#,@,6,4
1119317187527835648,consequence,Fri Apr 19 19:09:48 +0000 2019,"Teen Spirit's Elle Fanning talks about first concerts, favorite albums, and the possibility of being a pop star:… https://t.co/pCeOCLalLI",#,@,6,0
1119306151810797568,consequence,Fri Apr 19 18:25:56 +0000 2019,The Losers' Club heads to Castle Rock to help Sheriff Alan Pangborn solve the grisly murders within Stephen King's… https://t.co/Ozlbz3rThB,#,@,5,2
1119303001733201923,consequence,Fri Apr 19 18:13:25 +0000 2019,Enter for you chance to take home a portable Spire Studio from iZotope: https://t.co/bztXSoQQA1 https://t.co/BogQ8ExetH,#,@,6,0
1119299118466240514,consequence,Fri Apr 19 17:58:00 +0000 2019,"Slash talks to @heavyconsequence about the Conspirators, a new Guns N' Roses album, and the reported return of AC/D… https://t.co/lrZsLcxCzL",#,@,13,8
1119295549319127040,consequence,Fri Apr 19 17:43:49 +0000 2019,"All in the Family and The Jeffersons are returning to TV as a star-studded live special, featuring Will Ferrell, Wo… https://t.co/lDEEH6EVhB",#,@,15,4
1119292254961664000,consequence,Fri Apr 19 17:30:43 +0000 2019,Here are 10 K-pop groups not named BTS or BLACKPINK that you should totally know about: https://t.co/fah21DGirM https://t.co/XHbNoo9dj2,#,@,9,2
1119288085634744323,consequence,Fri Apr 19 17:14:09 +0000 2019,Cage the Elephant mostly stay in their comfort zone on new album Social Cues. Read the review:… https://t.co/BzDJErx5cc,#,@,13,2
1119283516783648770,consequence,Fri Apr 19 16:56:00 +0000 2019,"Win tickets to see Lizzo, Jenny Lewis, Courtney Barnett, and more at Maha Music Festival 2019:… https://t.co/XUVZLAdh4A",#,@,6,3
1119279105709682693,consequence,Fri Apr 19 16:38:28 +0000 2019,"RT @michaelroffman: It should be noted we managed to record this following a water pipe bursting in our studio, to which we had to relocate…",#,@michaelroffman@,0,1
